,time,bcnX,bcnY,bcnExp,calX,calY,calSetX,calSetY,calExp
0,0.391126,939.619,750.898,368566,1499.53,1228.69,1625.28,1314.59,10
1,0.946385,939.619,750.898,368566,1497.34,1229.14,1625.28,1314.59,10
2,1.50088,939.619,750.898,368566,1499.59,1228.81,1625.28,1314.59,10
3,2.06758,939.619,750.898,368566,1498.85,1228.84,1625.28,1314.59,10
4,2.61933,939.619,750.898,368566,1498.56,1228.94,1625.28,1314.59,10
5,3.16793,939.619,750.898,368566,1498.13,1228.9,1625.28,1314.59,10
6,1.64421,662.501,763.501,257800,1902.0,1301.0,662.501,763.501,10
7,2.24277,639.334,791.002,257800,1925.0,1274.0,639.334,791.002,10
8,3.39474,615.498,788.498,257800,1949.0,1277.0,615.498,788.498,10
9,6.53658,585.498,771.502,257800,1979.0,1294.0,585.498,771.502,10
10,0.628043,581.498,759.502,176800,1983.0,1306.0,581.498,759.502,10
11,1.27864,589.501,778.501,176800,1975.0,1287.0,589.501,778.501,10
12,1.84994,591.503,783.497,176800,1973.0,1282.0,591.503,783.497,10
13,2.67266,557.501,767.499,176800,2007.0,1298.0,557.501,767.499,10
14,3.32165,572.502,796.498,176800,1992.0,1269.0,572.502,796.498,10
15,3.9719,603.499,811.501,176800,1961.0,1254.0,603.499,811.501,10
16,5.04254,626.498,798.502,176800,1938.0,1267.0,626.498,798.502,10
17,5.69791,611.503,808.503,176800,1953.0,1257.0,611.503,808.503,10
18,6.34522,590.5,816.5,176800,1974.0,1249.0,590.5,816.5,10
19,6.99798,601.667,779.666,159120,1963.0,1286.0,601.667,779.666,10
20,7.55817,559.994,779.667,159120,2005.0,1286.0,559.994,779.667,10
21,8.15092,489.5,784.5,159120,2075.0,1281.0,489.5,784.5,10
22,8.74878,421.0,790.504,159120,2144.0,1275.0,421.0,790.504,10
23,9.30398,422.503,803.503,159120,2142.0,1262.0,422.503,803.503,10
24,10.0923,422.334,794.001,159120,2142.0,1271.0,422.334,794.001,10
25,10.8478,429.802,780.402,159120,2135.0,1285.0,429.802,780.402,10
26,11.7213,465.5,782.5,159120,2099.0,1283.0,465.5,782.5,10
27,12.2384,490.497,761.497,159120,2074.0,1304.0,490.497,761.497,10
28,13.2346,523.494,782.494,159120,2041.0,1283.0,523.494,782.494,10
29,14.1513,606.505,779.505,159120,1958.0,1286.0,606.505,779.505,10
30,15.1042,615.603,775.0,159120,1948.0,1290.0,615.603,775.0,10
31,15.8267,638.5,760.5,159120,1926.0,1305.0,638.5,760.5,10
32,16.4284,596.504,762.496,159120,1968.0,1303.0,596.504,762.496,10
33,17.022,519.25,768.374,159120,2045.0,1297.0,519.25,768.374,10
34,17.6995,542.498,757.498,159120,2022.0,1308.0,542.498,757.498,10
35,18.3788,564.501,730.499,159120,2000.0,1335.0,564.501,730.499,10
36,19.2155,588.5,755.5,159120,1976.0,1310.0,588.5,755.5,10
37,20.8259,609.501,731.499,159120,1955.0,1334.0,609.501,731.499,10
38,21.8628,599.503,741.497,159120,1964.0,1324.0,599.503,741.497,10
39,22.7413,657.666,742.001,159120,1905.0,1323.0,657.666,742.001,10
40,23.9413,651.501,756.501,159120,1912.0,1309.0,651.501,756.501,10
41,25.0846,686.497,741.497,159120,1877.0,1324.0,686.497,741.497,10
42,26.1222,671.5,731.5,159120,1892.0,1334.0,671.5,731.5,10
43,26.6405,676.504,736.496,159120,1887.0,1329.0,676.504,736.496,10
44,27.2,629.162,773.172,159120,1934.0,1292.0,629.162,773.172,10
45,27.7572,589.999,821.001,159120,1973.0,1244.0,589.999,821.001,10
46,28.4189,598.496,827.496,159120,1965.0,1238.0,598.496,827.496,10
47,29.0217,629.5,817.5,159120,1934.0,1248.0,629.5,817.5,10
48,30.8158,603.5,811.5,159120,1960.0,1254.0,603.5,811.5,10
49,31.6516,631.502,808.502,159120,1932.0,1257.0,631.502,808.502,10
50,32.214,588.5,815.5,159120,1974.0,1249.0,588.5,815.5,10
51,32.7395,595.667,822.0,159120,1967.0,1243.0,595.667,822.0,10
52,33.7185,594.498,825.498,159120,1968.0,1239.0,594.498,825.498,10
53,34.3178,613.5,801.5,159120,1949.0,1263.0,613.5,801.5,10
54,35.1011,599.502,815.498,159120,1963.0,1249.0,599.502,815.498,10
55,36.1417,613.5,804.5,159120,1949.0,1260.0,613.5,804.5,10
56,36.7426,579.999,799.665,159120,1982.0,1265.0,579.999,799.665,10
57,37.2983,571.497,780.497,159120,1991.0,1284.0,571.497,780.497,10
58,37.8551,575.502,787.498,159120,1987.0,1277.0,575.502,787.498,10
59,40.0504,573.499,800.499,159120,1989.0,1264.0,573.499,800.499,10
60,41.4046,600.5,800.5,159120,1966.0,1263.0,600.5,800.5,10
61,42.3215,590.503,820.497,159120,1976.0,1243.0,590.503,820.497,10
62,42.8397,613.499,806.499,159120,1953.0,1257.0,613.499,806.499,10
63,43.6767,624.498,789.498,159120,1942.0,1274.0,624.498,789.498,10
64,45.0585,634.499,774.501,159120,1932.0,1289.0,634.499,774.501,10
65,46.5331,623.5,795.5,159120,1943.0,1268.0,623.5,795.5,10
66,47.0873,578.502,789.502,159120,1988.0,1274.0,578.502,789.502,10
67,0.309232,595.917,817.705,108700,1971.0,1246.0,595.917,817.705,10
68,0.864623,540.497,817.497,119570,2026.0,1246.0,540.497,817.497,10
69,1.49658,466.498,819.498,119570,2100.0,1244.0,466.498,819.498,10
70,2.24776,483.497,814.0,131527,2083.0,1250.0,483.497,814.0,10
71,2.82727,520.503,820.497,131527,2046.0,1243.0,520.503,820.497,10
72,3.47308,519.998,790.998,131527,2047.0,1273.0,519.998,790.998,10
73,4.11997,450.502,800.498,131527,2116.0,1263.0,450.502,800.498,10
74,4.89543,372.5,786.5,131527,2194.0,1277.0,372.5,786.5,10
75,5.54363,462.335,777.999,131527,2105.0,1286.0,462.335,777.999,10
76,6.15288,516.502,791.502,131527,2050.0,1272.0,516.502,791.502,10
77,7.23943,553.667,764.0,131527,2013.0,1300.0,553.667,764.0,10
78,7.88514,559.5,778.502,131527,2007.0,1285.0,559.5,778.502,10
79,8.52984,578.498,799.498,131527,1988.0,1264.0,578.498,799.498,10
80,9.04402,619.5,783.5,131527,1947.0,1280.0,619.5,783.5,10
81,9.55662,581.503,783.497,131527,1985.0,1280.0,581.503,783.497,10
82,10.0685,521.51,781.49,131527,2045.0,1282.0,521.51,781.49,10
83,10.5765,466.665,781.0,131527,2100.0,1283.0,466.665,781.0,10
84,11.0925,411.502,781.498,131527,2155.0,1283.0,411.502,781.498,10
85,12.2494,396.499,745.499,131527,2170.0,1319.0,396.499,745.499,10
86,13.157,414.505,748.495,131527,2152.0,1316.0,414.505,748.495,10
87,14.0641,447.004,769.996,131527,2120.0,1294.0,447.004,769.996,10
88,14.5791,388.5,756.5,131527,2178.0,1308.0,388.5,756.5,10
89,15.1458,412.995,744.668,131527,2154.0,1319.0,412.995,744.668,10
90,16.0584,415.0,765.336,131527,2152.0,1299.0,415.0,765.336,10
91,17.5391,418.499,753.499,131527,2148.0,1311.0,418.499,753.499,10
92,18.1845,452.499,771.499,131527,2114.0,1293.0,452.499,771.499,10
93,18.7008,513.499,767.501,131527,2053.0,1297.0,513.499,767.501,10
94,19.2133,542.6,767.807,131527,2024.0,1296.0,542.6,767.807,10
95,19.8596,598.501,751.501,118375,1968.0,1313.0,598.501,751.501,10
96,20.4894,660.505,759.505,106538,1906.0,1305.0,660.505,759.505,10
97,21.3355,734.498,816.502,86297,1832.0,1248.0,734.498,816.502,10
98,23.4167,734.499,819.499,77668,1832.0,1245.0,734.499,819.499,10
99,24.1379,693.502,786.502,69902,1873.0,1278.0,693.502,786.502,10
100,25.3042,723.0,800.501,69902,1843.0,1264.0,723.0,800.501,10
101,25.8199,730.0,806.504,69902,1836.0,1258.0,730.0,806.504,10
102,27.2241,719.004,796.004,62912,1847.0,1268.0,719.004,796.004,10
103,27.9372,693.0,776.499,56621,1873.0,1288.0,693.0,776.499,10
104,29.0601,671.507,756.507,56621,1895.0,1308.0,671.507,756.507,10
105,29.6096,705.501,782.501,56621,1861.0,1282.0,705.501,782.501,10
106,30.1985,744.497,809.497,50959,1822.0,1255.0,744.497,809.497,10
107,2.46611,742.022,798.587,18100,1823.0,1266.0,742.022,798.587,10
